,Strategy,Portfolio,Alpha,Alpha_t,Alpha_p,R2,Adj_R2,MKT,MKT_t,MKT_p,SMB,SMB_t,SMB_p,HML,HML_t,HML_p,RMW,RMW_t,RMW_p,CMA,CMA_t,CMA_p,Strategy_Portfolio
0,lightGBM_train,Group_1,-0.013770668748424161,-6.971370820618473,3.138674442805668e-12,0.8688524721893275,0.8551912713757157,1.062522251938096,22.83023628282281,2.2971166507645345e-115,0.8681125964447343,5.757594538476746,8.532098787579762e-09,-0.20594575054146025,-0.9077537593056212,0.3640083339548117,-0.23770669512161285,-1.4302042480456505,0.15265840658593538,0.25919332411626184,0.5898909693462645,0.5552637488864931,lightGBM_train_Group_1
1,lightGBM_train,Group_2,-0.0011010766252699472,-0.49998441490484363,0.6170860514379688,0.8782364898739135,0.8655527909024461,0.9715919361700525,28.11449301110714,6.515016985530661e-174,0.5278641956051017,3.5608106509948168,0.0003697116256462677,-0.1536780640075192,-0.7756173143268091,0.43797497412915876,-0.28023824099051897,-1.3430060934788426,0.179270000759005,0.4224942191539136,1.358278509635057,0.17437532673595002,lightGBM_train_Group_2
2,lightGBM_train,Group_3,0.002841693403833807,1.201611868216694,0.22951394108584433,0.8585691879027499,0.8438368116426197,0.9322819682448391,30.439208196983305,1.6644201317459677e-203,0.6253852106414272,3.98371471660929,6.784631396420762e-05,-0.049468685030541235,-0.2695344376731538,0.7875184449904564,-0.23277469823761118,-1.0511575444362782,0.29318623857588,0.1796744680515822,0.6597633269038647,0.5094057208637481,lightGBM_train_Group_3
3,lightGBM_train,Group_4,0.002791459752080588,1.1831630390731265,0.23674453816542895,0.8602738885822355,0.8457190853095518,0.9363808961072321,31.5676398726333,1.0270409705101416e-218,0.6387852635126279,3.951023747290898,7.781760158527234e-05,0.0186736723611569,0.10800212150371592,0.9139940093388825,-0.2203269880402595,-0.9453038988390605,0.3445037485158857,0.1595748541766221,0.6069641506858706,0.5438747034284277,lightGBM_train_Group_4
4,lightGBM_train,Group_5,0.003266911210859902,1.2564828713721872,0.20894095228426757,0.8596178976492639,0.8449947619877288,0.9281258998709931,29.914359449636166,1.280157659232561e-196,0.6544360431133265,4.062007061178564,4.865260511864342e-05,-0.08773459373485336,-0.47635703005539176,0.6338200420572675,-0.22484049993148447,-0.9455404941947029,0.3443830074375904,0.20843718801391978,0.8123220517506751,0.41660686032540983,lightGBM_train_Group_5
5,lightGBM_test,Group_1,-0.007636805418373044,-1.354998147957446,0.17541814709933856,0.8942970973364676,0.8747224857321096,1.4586036007478371,4.450624837793397,8.562080382444897e-06,0.5383187687848994,3.515803352602752,0.0004384255842928907,-0.18828669427028902,-0.7547451689911242,0.45040189886224624,0.5820704678577526,1.9905355808048386,0.04653196852677253,0.7372548140897744,2.2334205521856307,0.02552122411973897,lightGBM_test_Group_1
6,lightGBM_test,Group_2,-0.004491886791276325,-0.8743329108710083,0.38193698149581223,0.8901308824033821,0.8697847495151195,1.6796881364969176,5.399566744194124,6.680202794238253e-08,0.5760250071115963,5.060978523876462,4.171102019007862e-07,0.32518662187986613,0.9768207478107106,0.32865790254227023,0.5174485404272893,1.231747706254152,0.218043343102318,0.3534147753057343,0.79179737633447,0.4284788324090606,lightGBM_test_Group_2
7,lightGBM_test,Group_3,-0.0029023345961228493,-0.5860402534552004,0.5578484646343214,0.9001290699632506,0.8816344532897785,1.5953608498160714,6.1162789317236275,9.578560817920826e-10,0.5467409556875187,5.133181684442521,2.8488465695042893e-07,0.26742162148733967,0.8837933612680237,0.3768077707639178,0.46834330294554416,1.1733248046747387,0.2406655788814851,0.36843526639234186,0.853202964606964,0.39354675964821273,lightGBM_test_Group_3
8,lightGBM_test,Group_4,-0.002580348088457777,-0.46997927223763936,0.6383698266005465,0.8820857318903519,0.8602497563144911,1.5775825906100382,5.851631186856674,4.867751071700698e-09,0.537360690309664,5.134461864623588,2.8295245788787137e-07,0.3097251409661014,0.9328714962278147,0.350886320912163,0.4952110790046386,1.1439219177660307,0.25265602046138913,0.25052354239625363,0.5456006052853527,0.5853405081994669,lightGBM_test_Group_4
9,lightGBM_test,Group_5,-0.0024970770033988744,-0.4260037424973734,0.6701051189526068,0.8947795056659924,0.8752942289374724,1.556235037247585,6.075344709089424,1.2372165882618143e-09,0.6795677901422196,6.264700955396282,3.735415592057056e-10,0.35948218790899356,1.2005827526630146,0.22991309469130938,0.41168088115479695,1.0612090400920355,0.2885949119611495,0.17728898163874454,0.4007732945587299,0.6885870423236737,lightGBM_test_Group_5
