Portfolio,Annualized_Return,Annualized_Std,Sharpe_Ratio
Group_1,-0.017232733402587054,0.2716502049861445,-0.06343721847537721
Group_2,0.10493089217798875,0.23508383731974042,0.4463551955520913
Group_3,0.12144327273724134,0.2375758914541026,0.5111767528007067
Group_4,0.14602301538276646,0.2352393593213273,0.6207422763097438
Group_5,0.16790980841183814,0.23317934879832067,0.7200886754215321
long_short,0.18514254181442522,0.08497609724941463,2.1787602373760535
