month,Group_1,Group_2,Group_3,Group_4,Group_5
2018-07,-0.033318198829430636,0.009174145501584656,0.014006071416375897,0.009630746620881097,0.01225369557634617
2018-08,-0.10401158999805511,-0.08271738932077372,-0.08103899305835262,-0.07483066808929378,-0.07747247304838803
2018-09,-0.025734697312994027,-0.017627497669144798,-0.015582999703767466,-0.012020427941614781,-0.0203353131296831
2018-10,-0.07884436767193245,-0.0801366210395147,-0.06880016958812232,-0.07171574136590952,-0.06149635080115584
2018-11,0.052813163232403454,0.07783420952935385,0.08088331567380197,0.07701887846005281,0.08214101921406053
2018-12,-0.07354963322782956,-0.051764516157524317,-0.0572889091495723,-0.05950308147401188,-0.05534952031499198
2019-01,-0.06295366222052734,-0.015927323284098883,-0.018128827978501835,-0.010056567289400431,0.0036638440747556135
2019-02,0.2602280368477575,0.21644343575984662,0.22426265314878113,0.2133607786730091,0.20737888626139322
2019-03,0.10772750215805801,0.10485888205180699,0.10644223926938501,0.11242992926200457,0.10936163848475197
2019-04,-0.10316302765323894,-0.06817371085888684,-0.079870003221658,-0.06237763858785752,-0.06609205975323282
2019-05,-0.028611849073122857,-0.004194722657371917,-0.017166304031998137,-0.02130136967057842,-0.015108325738743008
2019-06,-0.009640908604143402,0.02245789022269232,0.028534713824271075,0.034397928320068785,0.04199974173183017
2019-07,-0.06665902573081486,-0.034249901198864736,-0.03437716024185798,-0.02639400032326985,-0.031403632720538054
2019-08,0.0014365431630356386,-0.0038347512238756177,-0.01088788159592711,-0.007053258463214744,-0.009926713400046628
2019-09,0.00418497936000557,0.020939273211453252,0.013932770295240387,0.01882052374968514,0.01971506458797435
2019-10,-0.03001912745091325,-0.016674492163208824,-0.013681046245027832,0.001312857836019871,0.0051565107558955115
2019-11,-0.02867620760090323,-0.014042161774022788,-0.01569760043264048,-0.015245774623301,-0.012398367056910232
2019-12,0.09145641704392075,0.09794784674436156,0.08989245063825056,0.09312955982394655,0.0810401257498802
2020-01,-0.08404928527207532,-0.08735309611166656,-0.09124485696849013,-0.09559682211469266,-0.09468921303343585
