month,Group_1,Group_2,Group_3,Group_4,Group_5
2018-07,-0.03143215982934972,0.0003593219280824382,0.011998081538691821,0.014616759632871098,0.016198065011185234
2018-08,-0.09899504034110998,-0.09028399186760108,-0.07830881751207654,-0.06758248310623009,-0.08489682698623491
2018-09,-0.022626775806809808,-0.017425037587141763,-0.013836288635701553,-0.014678234114670166,-0.022739636762809868
2018-10,-0.08569382537488497,-0.06853041804475753,-0.06981808308446417,-0.06912825666977611,-0.06779988448746975
2018-11,0.05128082134427667,0.07211766338991851,0.07795818997944225,0.07883155428357298,0.0905023571124622
2018-12,-0.07937787273736649,-0.061151400632423684,-0.05901676731715621,-0.05596280863801474,-0.04342435048480981
2019-01,-0.06968074118367133,-0.022160755128426732,-0.006773603779273053,-0.004941998023672427,0.00015280771416942285
2019-02,0.26030970978994267,0.22728165718909954,0.21631010143855134,0.21084263218417987,0.2069302643440613
2019-03,0.111052426557179,0.10659335632807702,0.10421092338830412,0.10947096035663287,0.10948712489189141
2019-04,-0.11677592243815803,-0.08289506459479878,-0.07274121769247288,-0.057660420385586726,-0.04960827979305717
2019-05,-0.024206666754419428,-0.015976229363258678,-0.01703697789304072,-0.00600589385708625,-0.023151154784247147
2019-06,-0.005002054009798007,0.019636803498616642,0.031387373351737295,0.03877131759156457,0.03295592506259846
2019-07,-0.0691202219077296,-0.037207045740200714,-0.029314125748028667,-0.029427526432091643,-0.02801099637465668
2019-08,0.0035012859004219083,-0.004684707783587619,-0.004543696463596955,-0.01327950849376052,-0.011270388559675954
2019-09,0.00722401501503928,0.017039821722282116,0.01611014932882103,0.012895733907389267,0.02432624620622543
2019-10,-0.034044126087764824,-0.01326369635691337,-0.0014780453286633345,-0.0003983003106679512,-0.0046997733635998915
2019-11,-0.026431745826967765,-0.01868715684951312,-0.01534641929265035,-0.014205736022766485,-0.01139249592191365
2019-12,0.10398383108736697,0.08564743138817867,0.08315093078216651,0.08101066144197447,0.09967354530067302
2020-01,-0.0875831031144566,-0.09306629782301044,-0.08931369474125433,-0.09087463424454409,-0.09209265693699455
2020-02,0.14511533344765806,0.1119883516268093,0.10265703390200545,0.09240473194490266,0.09476034756668042
2020-03,-0.10616767525883132,-0.06087014615581381,-0.04040621708233719,-0.014857242158111973,-0.028049464545369333
2020-04,0.011004008065656679,0.01359997015226983,0.015406988990991596,0.023967436221758877,0.03104428164795453
2020-05,0.031124678409168424,0.03417390148870125,0.02925092079223918,0.04148653401680952,0.032808470708370736
2020-06,0.07878668654331013,0.07650285460242437,0.06338809825140254,0.06147983312724879,0.06883430411822063
2020-07,0.124488863125635,0.12806168546471203,0.13563797111293086,0.15301233588365243,0.1441496753739942
2020-08,-0.006880409277763618,0.023064092856372686,0.02764474422397813,0.04313804275204563,0.042250907202616685
2020-09,-0.05113172025198516,-0.04606118956146638,-0.058951073142658725,-0.05718068495966975,-0.05965695398714172
2020-10,0.008039269319966737,-0.008511324377236019,-0.0177961703426202,-0.02086574009967628,-0.01936143154254654
2020-11,-0.005582267124073419,0.03386274786225321,0.04096309002593382,0.030796628953928373,0.030275568273955365
2020-12,-0.046127859014157384,-0.024605602033366487,-0.036971742211456445,-0.036607493332831045,-0.030319500777192077
2021-01,-0.1069779556041937,-0.06970912574450305,-0.06598072243699758,-0.05922800827131923,-0.058776456466022274
2021-02,0.020945905199625643,0.04515022165059929,0.042891905930669605,0.042360800340587916,0.04729977024137126
2021-03,-0.007382817148940657,0.0011944315768797136,0.018405076434415628,0.01795339367143324,0.030718626767880522
2021-04,-0.014816697557715492,0.011571012326986197,0.02152785230644704,0.012285352181399093,0.005868479206048178
2021-05,0.09474037039047363,0.08018294778839775,0.06282372534535756,0.0501669863897138,0.037452133614589926
2021-06,0.019382497615378663,0.04934537381100567,0.041416796400614506,0.03813666747601626,0.03476704362594341
2021-07,0.005682328648533895,0.015791433471800047,-0.006454746170997362,-0.010863812020571498,-0.0130533820746438
2021-08,0.05776238608507561,0.061044307366207494,0.07126201962961913,0.07538159999613343,0.0664486022779978
2021-09,-0.039680127416570496,-0.015856615335222608,-0.001157318894175649,0.004112284719117744,-0.00042159410233305584
2021-10,-0.03679799999740118,-0.03170281950703698,-0.0313518558049139,-0.027835437547246204,-0.02641894255349155
2021-11,0.10360656820759048,0.10423599613850765,0.11451756549156299,0.11271575456152984,0.11517147425702892
2021-12,0.006838280070033634,0.021092761690794392,0.038305001052777246,0.048598768251425464,0.04823149498905593
2022-01,-0.11741632786935334,-0.09606616930014795,-0.08136600600708524,-0.07373967248374758,-0.0563658228422056
2022-02,0.042909363213613855,0.03784562556168313,0.03321263546434651,0.03242044027494627,0.03133035558532302
2022-03,-0.0435911423675078,-0.06407012049307727,-0.07449948031737921,-0.06826035404898435,-0.05470507735525538
2022-04,-0.19640376152699127,-0.14149043188003224,-0.1348451783154478,-0.14221489658489747,-0.14657564265789264
2022-05,0.0935420550651394,0.11088900218816944,0.11031706108533672,0.10733294973385694,0.11298620674909395
2022-06,0.07978632022582369,0.08719129555877077,0.09533439813669901,0.08453941371022677,0.07738342420916426
2022-07,0.03893969233904371,0.016012006463023004,0.019235711197175022,0.03176606105382045,0.04819350062658109
2022-08,-0.07453597912229003,-0.03764386754077967,-0.019930392594807923,-0.00791353773382522,-0.009596868420862123
2022-09,-0.10380431422254975,-0.08550216606956366,-0.08200394160643394,-0.08303101340714909,-0.07989728099161161
2022-10,0.03044375116373113,0.027568038523089526,0.03560607285718066,0.0428886660240594,0.05205066296210045
